index,rkPic,rkK0,numZ,isExc,Zonotope,ExtTable,Chambers
10,3,11,14,false,"{{3,0,1},{2,1,0},{2,0,1},{1,1,0},{1,0,1},{0,1,0},{3,0,0},{0,0,1},{-1,1,0},{2,0,0},{-1,0,1},{-2,1,0},{1,0,0},{0,0,0}}","{{1,1,4,4,10,10,11,20,20,24,35,35,45,76},{0,1,1,4,4,10,10,10,20,21,20,35,39,66},{0,0,1,1,4,4,4,10,10,11,20,20,24,45},{0,0,0,1,1,4,4,4,10,10,10,20,21,39},{0,0,0,0,1,1,1,4,4,4,10,10,11,24},{0,0,0,0,0,1,1,1,4,4,4,10,10,21},{0,0,0,0,0,0,1,0,0,4,0,0,10,20},{0,0,0,0,0,0,0,1,1,1,4,4,4,11},{T^3,0,0,0,0,0,T^3,0,1,1,1,4,4,10},{0,0,0,0,0,0,0,0,0,1,0,0,4,10},{T^3,T^3,0,0,0,0,T^3,0,0,0,1,1,1,4},{4*T^3,T^3,T^3,0,0,0,4*T^3,0,0,T^3,0,1,1,4},{0,0,0,0,0,0,0,0,0,0,0,0,1,4},{0,0,0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{-3,1,0},{0,1,-1},{0,0,1},{1,-1,1}},{{1,2,4},{1,2,3},{0,1,4},{2,4,5},{0,1,3},{0,4,5}},{2,7,6})"
11,3,11,12,false,"{{3,0,1},{2,1,0},{2,0,1},{1,1,0},{1,0,1},{3,0,0},{0,1,0},{0,0,1},{2,0,0},{-1,1,0},{1,0,0},{0,0,0}}","{{1,1,4,4,10,5,10,20,14,20,30,55},{0,1,1,4,4,4,10,10,11,20,24,45},{0,0,1,1,4,1,4,10,5,10,14,30},{0,0,0,1,1,1,4,4,4,10,11,24},{0,0,0,0,1,0,1,4,1,4,5,14},{0,0,0,0,0,1,0,0,4,0,10,20},{0,0,0,0,0,0,1,1,1,4,4,11},{0,0,0,0,0,0,0,1,0,1,1,5},{0,0,0,0,0,0,0,0,1,0,4,10},{T^3,0,0,0,0,T^3,0,0,0,1,1,4},{0,0,0,0,0,0,0,0,0,0,1,4},{0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{-2,1,0},{0,1,-1},{0,0,1},{1,-1,1}},{{0,1,4},{0,4,5},{2,4,5},{0,1,3},{1,2,3},{1,2,4}},{2,5,4})"
12,3,11,11,true,"{{3,0,1},{2,1,0},{2,0,1},{3,0,0},{1,1,0},{1,0,1},{2,0,0},{0,1,0},{0,0,1},{1,0,0},{0,0,0}}","{{1,1,4,2,4,10,8,10,20,20,40},{0,1,1,1,4,4,5,10,10,14,30},{0,0,1,0,1,4,2,4,10,8,20},{0,0,0,1,0,0,4,0,0,10,20},{0,0,0,0,1,1,1,4,4,5,14},{0,0,0,0,0,1,0,1,4,2,8},{0,0,0,0,0,0,1,0,0,4,10},{0,0,0,0,0,0,0,1,1,1,5},{0,0,0,0,0,0,0,0,1,0,2},{0,0,0,0,0,0,0,0,0,1,4},{0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{-1,1,0},{0,1,-1},{0,0,1},{1,-1,1}},{{0,1,3},{1,2,3},{1,2,4},{0,4,5},{0,1,4}},{2,3,2})"
13,3,12,14,false,"{{1,2,1},{0,2,1},{1,1,1},{0,1,1},{1,0,1},{1,-1,1},{0,0,1},{0,-1,1},{1,2,0},{1,1,0},{0,2,0},{1,0,0},{0,1,0},{0,0,0}}","{{1,2,3,6,6,10,12,20,13,23,20,36,36,57},{0,1,0,3,0,0,6,10,6,10,13,15,23,36},{0,0,1,2,3,6,6,12,6,13,9,23,20,36},{0,0,0,1,0,0,3,6,3,6,6,10,13,23},{0,0,0,0,1,3,2,6,2,6,3,13,9,20},{T^2,2*T^2,0,0,0,1,0,2,T^2,2,2*T^2,6,3,9},{0,0,0,0,0,0,1,3,1,3,2,6,6,13},{0,T^2,0,0,0,0,0,1,0,1,T^2,3,2,6},{0,0,0,0,0,0,0,0,1,3,2,6,6,12},{0,0,0,0,0,0,0,0,0,1,0,3,2,6},{0,0,0,0,0,0,0,0,0,0,1,0,3,6},{0,0,0,0,0,0,0,0,0,0,0,1,0,2},{0,0,0,0,0,0,0,0,0,0,0,0,1,3},{0,0,0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{0,0,1},{-1,-2,1}},{{0,2,3},{1,2,3},{0,1,2}},{1,1,4})"
14,3,12,15,false,"{{2,1,1},{1,1,1},{0,1,1},{-1,1,1},{2,0,1},{2,1,0},{1,0,1},{0,0,1},{1,1,0},{-1,0,1},{0,1,0},{-1,1,0},{2,0,0},{1,0,0},{0,0,0}}","{{1,3,6,10,7,8,13,21,16,31,27,41,29,47,70},{0,1,3,6,3,3,7,13,8,21,16,27,16,29,47},{0,0,1,3,1,1,3,7,3,13,8,16,8,16,29},{T^2,0,0,1,T^2,2*T^2,1,3,1,7,3,8,3+2*T^2,8,16},{0,0,0,0,1,1,3,6,3,10,6,10,8,16,27},{0,0,0,0,0,1,0,0,3,0,6,10,7,13,21},{0,0,0,0,0,0,1,3,1,6,3,6,3,8,16},{0,0,0,0,0,0,0,1,0,3,1,3,1,3,8},{0,0,0,0,0,0,0,0,1,0,3,6,3,7,13},{0,0,0,0,T^2,T^2,0,0,0,1,0,1,2*T^2,1,3},{0,0,0,0,0,0,0,0,0,0,1,3,1,3,7},{0,0,0,0,0,T^2,0,0,0,0,0,1,T^2,1,3},{0,0,0,0,0,0,0,0,0,0,0,0,1,3,6},{0,0,0,0,0,0,0,0,0,0,0,0,0,1,3},{0,0,0,0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{-2,1,0},{0,0,1},{0,-1,1}},{{1,2,3},{0,1,3},{2,3,4},{0,3,4}},{1,3,4})"
15,3,12,14,false,"{{2,1,1},{1,1,1},{0,1,1},{2,0,1},{1,0,1},{-1,1,1},{2,1,0},{0,0,1},{-1,0,1},{1,1,0},{2,0,0},{0,1,0},{1,0,0},{0,0,0}}","{{1,3,6,4,9,10,10,16,25,19,23,31,40,62},{0,1,3,1,4,6,4,9,16,10,11,19,23,40},{0,0,1,0,1,3,1,4,9,4,4,10,11,23},{0,0,0,1,3,0,3,6,10,6,10,10,19,31},{0,0,0,0,1,0,1,3,6,3,4,6,10,19},{T^2,0,0,T^2,0,1,T^2,1,4,1,1+T^2,4,4,11},{0,0,0,0,0,0,1,0,0,3,4,6,9,16},{0,0,0,0,0,0,0,1,3,1,1,3,4,10},{0,0,0,T^2,0,0,0,0,1,0,T^2,1,1,4},{0,0,0,0,0,0,0,0,0,1,1,3,4,9},{0,0,0,0,0,0,0,0,0,0,1,0,3,6},{0,0,0,0,0,0,0,0,0,0,0,1,1,4},{0,0,0,0,0,0,0,0,0,0,0,0,1,3},{0,0,0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{-1,1,0},{0,0,1},{-1,-1,1},{-1,1,1}},{{0,3,4},{1,2,5},{2,4,5},{1,3,5},{3,4,5},{0,1,3}},{1,2,4})"
16,3,12,14,false,"{{1,2,1},{0,2,1},{1,1,1},{0,1,1},{1,0,1},{1,2,0},{0,0,1},{1,-1,1},{0,2,0},{0,-1,1},{1,1,0},{0,1,0},{1,0,0},{0,0,0}}","{{1,2,4,7,10,11,16,20,18,30,24,37,45,66},{0,1,1,4,4,4,10,10,11,20,11,24,24,45},{0,0,1,2,4,4,7,10,7,16,11,18,24,37},{0,0,0,1,1,1,4,4,4,10,4,11,11,24},{0,0,0,0,1,1,2,4,2,7,4,7,11,18},{0,0,0,0,0,1,0,0,2,0,4,7,10,16},{0,0,0,0,0,0,1,1,1,4,1,4,4,11},{0,T^2,0,0,0,0,0,1,T^2,2,1,2,4,7},{0,0,0,0,0,0,0,0,1,0,1,4,4,10},{T^3,0,0,0,0,T^3,0,0,0,1,0,1,1,4},{0,0,0,0,0,0,0,0,0,0,1,2,4,7},{0,0,0,0,0,0,0,0,0,0,0,1,1,4},{0,0,0,0,0,0,0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{-1,1,0},{0,0,1},{0,-2,1}},{{0,3,4},{1,2,3},{0,1,3},{2,3,4}},{1,2,5})"
17,3,12,14,false,"{{2,1,1},{1,1,1},{2,1,0},{0,1,1},{1,1,0},{0,1,0},{2,0,1},{-1,1,1},{-1,1,0},{1,0,1},{2,0,0},{1,0,0},{0,0,1},{0,0,0}}","{{1,3,2,6,6,12,7,10,20,13,14,26,21,42},{0,1,0,3,2,6,3,6,12,7,6,14,13,26},{0,0,1,0,3,6,0,0,10,0,7,13,0,21},{0,0,0,1,0,2,1,3,6,3,2,6,7,14},{0,0,0,0,1,3,0,0,6,0,3,7,0,13},{0,0,0,0,0,1,0,0,3,0,1,3,0,7},{0,0,0,0,0,0,1,0,0,3,2,6,6,12},{T^2,0,2*T^2,0,0,0,T^2,1,2,1,2*T^2,2,3,6},{0,0,T^2,0,0,0,0,0,1,0,T^2,1,0,3},{0,0,0,0,0,0,0,0,0,1,0,2,3,6},{0,0,0,0,0,0,0,0,0,0,1,3,0,6},{0,0,0,0,0,0,0,0,0,0,0,1,0,3},{0,0,0,0,0,0,0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{-2,1,0},{0,0,1}},{{1,2,3},{0,1,3}},{1,3,1})"
18,3,12,12,true,"{{2,1,1},{1,1,1},{2,0,1},{1,0,1},{0,1,1},{0,0,1},{2,1,0},{1,1,0},{2,0,0},{1,0,0},{0,1,0},{0,0,0}}","{{1,3,2,6,6,12,7,15,11,24,26,42},{0,1,0,2,3,6,2,7,3,11,15,24},{0,0,1,3,0,6,3,6,7,15,10,26},{0,0,0,1,0,3,1,3,2,7,6,15},{0,0,0,0,1,2,0,2,0,3,7,11},{0,0,0,0,0,1,0,1,0,2,3,7},{0,0,0,0,0,0,1,3,2,6,6,12},{0,0,0,0,0,0,0,1,0,2,3,6},{0,0,0,0,0,0,0,0,1,3,0,6},{0,0,0,0,0,0,0,0,0,1,0,3},{0,0,0,0,0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{0,0,1},{-1,-1,1}},{{0,1,2},{0,2,3},{1,2,3}},{1,1,3})"
19,3,12,12,true,"{{2,1,1},{2,0,1},{2,1,0},{2,0,0},{1,1,1},{1,0,1},{1,1,0},{1,0,0},{0,1,1},{0,0,1},{0,1,0},{0,0,0}}","{{1,2,2,4,6,10,10,17,20,30,30,46},{0,1,0,2,2,6,3,10,10,20,14,30},{0,0,1,2,2,3,6,10,10,14,20,30},{0,0,0,1,1,2,2,6,6,10,10,20},{0,0,0,0,1,2,2,4,6,10,10,17},{0,0,0,0,0,1,0,2,2,6,3,10},{0,0,0,0,0,0,1,2,2,3,6,10},{0,0,0,0,0,0,0,1,1,2,2,6},{0,0,0,0,0,0,0,0,1,2,2,4},{0,0,0,0,0,0,0,0,0,1,0,2},{0,0,0,0,0,0,0,0,0,0,1,2},{0,0,0,0,0,0,0,0,0,0,0,1}}","({{1,0,0},{0,1,0},{1,-1,-1},{0,0,1}},{{0,1,2},{0,1,3},{0,2,3}},{3,1,1})"
