index,rkPic,rkK0,numZ,isExc,Zonotope,ExtTable,Chambers
0,1,3,3,true,"{{2},{1},{0}}","{{1,3,6},{0,1,3},{0,0,1}}","({{1}},{{0}},{1})"
1,2,4,4,true,"{{1,1},{0,1},{1,0},{0,0}}","{{1,2,2,4},{0,1,0,2},{0,0,1,2},{0,0,0,1}}","({{1,0},{0,1}},{{0,1}},{1,1})"
2,2,4,4,true,"{{1,1},{0,1},{1,0},{0,0}}","{{1,2,3,5},{0,1,1,3},{0,0,1,2},{0,0,0,1}}","({{1,0},{0,1},{-1,1}},{{1,2},{0,1}},{1,2})"
3,3,5,5,true,"{{1,0,1},{0,1,0},{0,0,1},{1,0,0},{0,0,0}}","{{1,1,2,2,4},{0,1,1,1,3},{0,0,1,0,2},{0,0,0,1,2},{0,0,0,0,1}}","({{1,0,0},{0,1,0},{-1,1,0},{0,1,-1},{0,0,1},{1,-1,1}},{{0,1,4},{1,2,4},{1,2,3},{0,1,3},{0,4,5}},{2,3,2})"
4,4,6,6,true,"{{0,1,1,0},{1,0,0,1},{0,0,1,1},{1,0,0,0},{0,1,0,0},{0,0,0,0}}","{{1,0,1,1,1,3},{0,1,1,1,1,3},{0,0,1,0,0,2},{0,0,0,1,0,2},{0,0,0,0,1,2},{0,0,0,0,0,1}}","({{1,0,0,0},{0,1,0,0},{1,0,-1,0},{0,0,1,0},{0,1,1,0},{-1,1,1,0},{0,1,0,-1},{0,0,0,1},{1,0,0,1},{1,-1,0,1},{0,0,1,1}},{{1,5,7,10},{0,2,8,9},{1,4,5,6},{3,4,5,6},{0,3,4,6},{1,2,7,8},{0,3,9,10},{0,3,4,10},{1,4,5,10},{2,7,8,9},{7,8,9,10},{0,1,2,8},{0,1,4,8,10},{1,7,8,10},{3,4,5,10},{0,1,4,6},{0,8,9,10},{0,1,2,6}},{2,2,1,1})"
